"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"06/22/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","80","24","35.2","06/22/2013","06/22/2003"
"06/23/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","133","24","32.6","06/23/2002","06/23/2017"
"06/24/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","112","24","31.8","06/24/2005","06/24/2018"
"06/25/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","151","25","39.2","06/25/2003","06/25/2014"
"06/26/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","161","21","41.4","06/26/2003","06/26/2011"
"06/27/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","156","22","34.6","06/27/2001","06/27/2006"
"06/28/2020","32","Ozone","PISECO LAKE","36-041-0005","AQS","80","23","36.6","06/28/2003","06/28/2006"
"06/29/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","100","25","34.6","06/29/2001","06/29/2015"
"06/30/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","126","25","36.6","06/30/2001","06/30/2015"
"07/01/2020","24","Ozone","PISECO LAKE","36-041-0005","AQS","129","20","38.6","07/01/2002","07/01/2010"
"07/02/2020","25","Ozone","PISECO LAKE","36-041-0005","AQS","87","24","37.8","07/02/2002","07/02/2013"
"07/03/2020","26","Ozone","PISECO LAKE","36-041-0005","AQS","87","29","34.4","07/03/2003","07/03/2004"
"07/04/2020","32","Ozone","PISECO LAKE","36-041-0005","AQS","140","22","36.6","07/04/2003","07/04/2009"
"07/05/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","58","26","41.4","07/05/2010","07/05/2013"
"07/06/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","54","22","39.2","07/06/2011","07/06/2000"
"07/07/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","93","24","32.8","07/07/2010","07/07/2003"
"07/08/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","61","20","34","07/08/2003","07/08/2009"
"07/09/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","71","23","31.4","07/09/2007","07/09/2016"
"07/10/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","61","21","38.4","07/10/2007","07/10/2016"
"07/11/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","84","26","35.4","07/11/2011","07/11/2010"
"07/12/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","74","20","36.6","07/12/2012","07/12/2001"
"07/13/2020","26","Ozone","PISECO LAKE","36-041-0005","AQS","97","25","39.8","07/13/2012","07/13/2013"
"07/14/2020","22","Ozone","PISECO LAKE","36-041-0005","AQS","97","13","33","07/14/2002","07/14/2017"
"07/15/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","71","19","33.4","07/15/2003","07/15/2011"
"07/16/2020","28","Ozone","PISECO LAKE","36-041-0005","AQS","58","23","34.4","07/16/2005","07/16/2016"
"07/17/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","169","24","33.6","07/17/2002","07/17/2004"
"07/18/2020","50","Ozone","PISECO LAKE","36-041-0005","AQS","100","27","36.2","07/18/2002","07/18/2019"
"07/19/2020","47","Ozone","PISECO LAKE","36-041-0005","AQS","93","21","37.2","07/19/2008","07/19/2009"
"07/20/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","58","24","38.4","07/20/2006","07/20/2016"
"07/21/2020","24","Ozone","PISECO LAKE","36-041-0005","AQS","74","25","42.6","07/21/2004","07/21/2007"
"07/22/2020","24","Ozone","PISECO LAKE","36-041-0005","AQS","101","20","30.6","07/22/2001","07/22/2019"
"07/23/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","93","24","27.25","07/23/2001","07/23/2018"
"07/24/2020","28","Ozone","PISECO LAKE","36-041-0005","AQS","87","19","25.6","07/24/2001","07/24/2018"
"07/25/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","64","15","29","07/25/2007","07/25/2017"
"07/26/2020","48","Ozone","PISECO LAKE","36-041-0005","AQS","101","22","31.6","07/26/2003","07/26/2017"
"07/27/2020","48","Ozone","PISECO LAKE","36-041-0005","AQS","71","22","36.4","07/27/2003","07/27/2012"
"07/28/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","64","22","36.2","07/28/2010","07/28/2005"
"07/29/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","67","18","33","07/29/2001","07/29/2014"
"07/30/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","87","20","33.2","07/30/2004","07/30/2016"
"07/31/2020","21","Ozone","PISECO LAKE","36-041-0005","AQS","74","23","32.2","07/31/2003","07/31/2016"
"08/01/2020","25","Ozone","PISECO LAKE","36-041-0005","AQS","74","21","29.6","08/01/2006","08/01/2016"
"08/02/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","136","20","33.8","08/02/2001","08/02/2016"
"08/03/2020","32","Ozone","PISECO LAKE","36-041-0005","AQS","101","22","38.8","08/03/2007","08/03/2011"
"08/04/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","108","18","36.8","08/04/2005","08/04/2008"
"08/05/2020","29","Ozone","PISECO LAKE","36-041-0005","AQS","58","25","36.8","08/05/2002","08/05/2006"
"08/06/2020","25","Ozone","PISECO LAKE","36-041-0005","AQS","61","19","36.6","08/06/2001","08/06/2002"
"08/07/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","87","23","31","08/07/2006","08/07/2015"
"08/08/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","61","24","32.4","08/08/2012","08/08/2014"
"08/09/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","100","22","30.6","08/09/2012","08/09/2014"
"08/10/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","77","20","31.6","08/10/2005","08/10/2019"
"08/11/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","166","24","37.2","08/11/2002","08/11/2018"
"08/12/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","147","22","34.8","08/12/2002","08/12/2000"
"08/13/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","115","25","31.25","08/13/2002","08/13/2008"
"08/14/2020","29","Ozone","PISECO LAKE","36-041-0005","AQS","154","23","31","08/14/2002","08/14/2013"
"08/15/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","101","21","34","08/15/2002","08/15/2008"
"08/16/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","87","25","31.8","08/16/2001","08/16/2006"
"08/17/2020","32","Ozone","PISECO LAKE","36-041-0005","AQS","64","24","32.8","08/17/2009","08/17/2018"
"08/18/2020","26","Ozone","PISECO LAKE","36-041-0005","AQS","93","22","28.75","08/18/2004","08/18/2007"
"08/19/2020","20","Ozone","PISECO LAKE","36-041-0005","AQS","61","20","32.8","08/19/2001","08/19/2016"
"08/20/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","77","20","31.2","08/20/2003","08/20/2000"
"08/21/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","97","22","34.8","08/21/2003","08/21/2008"
"08/22/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","74","24","33","08/22/2013","08/22/2007"
"08/23/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","67","18","30.6","08/23/2008","08/23/2014"
"08/24/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","64","17","31.6","08/24/2012","08/24/2019"
