"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"05/26/2021","77","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","126","26","71.6","05/26/2016","05/26/2017"
"05/27/2021","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","101","29","49.8","05/27/2016","05/27/2009"
"05/28/2021","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","77","22","40.4","05/28/2005","05/28/2014"
"05/29/2021","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","69","25","40.6","05/29/2006","05/29/2019"
"05/30/2021","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","101","18","34","05/30/2008","05/30/2001"
"05/31/2021","27","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","112","19","39","05/31/2013","05/31/2001"
"06/01/2021","50","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","108","25","37.2","06/01/2007","06/01/2015"
"06/02/2021","61","Ozone","UXBRIDGE","25-027-0024","AQS","151","25","37.4","06/02/2007","06/02/2015"
"06/03/2021","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","126","15","32.6","06/03/2008","06/03/2002"
"06/04/2021","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","87","16","39.2","06/04/2005","06/04/2001"
"06/05/2021","105","Ozone","UXBRIDGE","25-027-0024","AQS","101","26","44.4","06/05/2007","06/05/2012"
"06/06/2021","77","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","87","19","36","06/06/2005","06/06/2014"
"06/07/2021","71","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","90","24","44.8","06/07/2005","06/07/2002"
"06/08/2021","59","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","147","22","41","06/08/2007","06/08/2002"
"06/09/2021","44","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","150","31","41.2","06/09/2005","06/09/2016"
"06/10/2021","46","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","174","22","54.6","06/10/2000","06/10/2006"
"06/11/2021","48","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","100","23","54.4","06/11/2017","06/11/2006"
"06/12/2021","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","101","25","53.8","06/12/2005","06/12/2000"
"06/13/2021","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","84","20","42.2","06/13/2005","06/13/2014"
"06/14/2021","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","197","27","38.4","06/14/2008","06/14/2011"
"06/15/2021","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","95","23","33.4","06/15/2001","06/15/2018"
"06/16/2021","32","Ozone","UXBRIDGE","25-027-0024","AQS","112","26","38.8","06/16/2000","06/16/2015"
"06/17/2021","34","Ozone","UXBRIDGE","25-027-0024","AQS","67","25","39.2","06/17/2014","06/17/2017"
"06/18/2021","90","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","115","31","56","06/18/2018","06/18/2013"
"06/19/2021","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","192","20","37.8","06/19/2001","06/19/2005"
"06/20/2021","58","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","150","27","41.2","06/20/2001","06/20/2019"
"06/21/2021","56","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","90","28","40.2","06/21/2013","06/21/2014"
"06/22/2021","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","164","30","39.6","06/22/2006","06/22/2009"
"06/23/2021","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","93","28","43.4","06/23/2002","06/23/2018"
"06/24/2021","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","154","24","38.8","06/24/2005","06/24/2009"
"06/25/2021","44","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","166","27","41.4","06/25/2005","06/25/2002"
"06/26/2021","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","133","22","43.4","06/26/2007","06/26/2006"
"06/27/2021","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","177","22","41.6","06/27/2007","06/27/2006"
"06/28/2021","59","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","100","28","34.8","06/28/2003","06/28/2015"
"06/29/2021","55","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","147","23","42.6","06/29/2003","06/29/2015"
"06/30/2021","46","Ozone","UXBRIDGE","25-027-0024","AQS","115","31","47.4","06/30/2001","06/30/2019"
"07/01/2021","49","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","108","23","46.8","07/01/2006","07/01/2010"
"07/02/2021","27","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","115","25","42.2","07/02/2003","07/02/2009"
"07/03/2021","23","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","159","26","43.4","07/03/2008","07/03/2017"
"07/04/2021","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","122","29","46.6","07/04/2003","07/04/2017"
"07/05/2021","39","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","120","25","52.4","07/05/2003","07/05/2014"
"07/06/2021","63","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","119","21","49.6","07/06/2011","07/06/2000"
"07/07/2021","69","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","162","19","42.6","07/07/2002","07/07/2005"
"07/08/2021","49","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","147","29","41.6","07/08/2008","07/08/2016"
"07/09/2021","19","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","129","19","43.6","07/09/2002","07/09/2016"
"07/10/2021","22","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","156","23","55","07/10/2007","07/10/2016"
"07/11/2021","25","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","126","25","40","07/11/2011","07/11/2016"
"07/12/2021","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","133","23","44.8","07/12/2003","07/12/2001"
"07/13/2021","42","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","105","20","47.6","07/13/2000","07/13/2017"
"07/14/2021","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","100","22","36.4","07/14/2012","07/14/2017"
"07/15/2021","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","115","24","40.2","07/15/2003","07/15/2001"
"07/16/2021","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","100","27","53.4","07/16/2010","07/16/2001"
"07/17/2021","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","166","26","47.4","07/17/2012","07/17/2001"
"07/18/2021","24","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","112","30","46","07/18/2002","07/18/2014"
"07/19/2021","17","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","112","23","46.2","07/19/2013","07/19/2000"
"07/20/2021","103","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","84","31","48.6","07/20/2008","07/20/2016"
"07/21/2021","57","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","159","31","48.4","07/21/2011","07/21/2007"
"07/22/2021","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","159","28","57.4","07/22/2002","07/22/2015"
"07/23/2021","39","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","169","26","30.2","07/23/2001","07/23/2018"
"07/24/2021","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","78","25","28.6","07/24/2001","07/24/2017"
"07/25/2021","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","119","19","35.6","07/25/2007","07/25/2017"
"07/26/2021","125","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","150","23","37.8","07/26/2005","07/26/2013"
"07/27/2021","63","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","143","27","43.8","07/27/2005","07/27/2011"
