"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"04/14/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","54","33","41","04/14/2010","04/14/2019"
"04/15/2021","28","Ozone","DUNKIRK","36-013-0006","AQS","143","36","47.2","04/15/2010","04/15/2001"
"04/16/2021","22","Ozone","DUNKIRK","36-013-0006","AQS","105","33","46.2","04/16/2002","04/16/2018"
"04/17/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","112","31","43.6","04/17/2008","04/17/2000"
"04/18/2021","43","Ozone","DUNKIRK","36-013-0006","AQS","147","30","59.4","04/18/2008","04/18/2010"
"04/19/2021","48","Ozone","DUNKIRK","36-013-0006","AQS","156","30","44.4","04/19/2008","04/19/2011"
"04/20/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","84","26","39","04/20/2012","04/20/2017"
"04/21/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","100","34","42.8","04/21/2014","04/21/2017"
"04/22/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","105","32","43.6","04/22/2007","04/22/2003"
"04/23/2021","58","Ozone","DUNKIRK","36-013-0006","AQS","108","28","47.4","04/23/2001","04/23/2004"
"04/24/2021","71","Ozone","DUNKIRK","36-013-0006","AQS","97","31","43.4","04/24/2009","04/24/2005"
"04/25/2021","42","Ozone","DUNKIRK","36-013-0006","AQS","71","31","36.8","04/25/2009","04/25/2011"
"04/26/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","64","32","37.4","04/26/2005","04/26/2007"
"04/27/2021","64","Ozone","DUNKIRK","36-013-0006","AQS","84","27","42.8","04/27/2013","04/27/2015"
"04/28/2021","45","PM2.5","DUNKIRK","36-013-0006","AQS","151","32","38.8","04/28/2003","04/28/2018"
"04/29/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","108","16","39.6","04/29/2004","04/29/2014"
"04/30/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","140","31","45","04/30/2010","04/30/2017"
