"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"04/09/2021","45","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","58","7","34","04/09/2011","04/09/2000"
"04/10/2021","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","77","8","39","04/10/2017","04/10/2015"
"04/11/2021","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","74","16","44","04/11/2017","04/11/2009"
"04/12/2021","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","57","7","43.2","04/12/2018","04/12/2009"
"04/13/2021","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","51","8","44.2","04/13/2018","04/13/2008"
"04/14/2021","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","48","9","34.8","04/14/2017","04/14/2015"
"04/15/2021","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","87","10","47.4","04/15/2017","04/15/2014"
"04/16/2021","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","64","20","42.6","04/16/2017","04/16/2011"
"04/17/2021","30","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","60","13","41.4","04/17/2002","04/17/2010"
"04/18/2021","34","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","58","13","42.8","04/18/2008","04/18/2010"
"04/19/2021","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","60","9","35.8","04/19/2008","04/19/2015"
"04/20/2021","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","52","9","32","04/20/2012","04/20/2015"
"04/21/2021","29","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","55","15","36.4","04/21/2008","04/21/2009"
"04/22/2021","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","52","18","37.8","04/22/2008","04/22/2012"
"04/23/2021","45","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","60","8","35.6","04/23/2008","04/23/2009"
"04/24/2021","54","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","80","15","42.8","04/24/2018","04/24/2015"
