"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"07/26/2020","80","Ozone","BABYLON","36-103-0002","AQS","203","33","69.2","07/26/2005","07/26/2002"
"07/27/2020","115","Ozone","RIVERHEAD","36-103-0004","AQS","164","43","71.6","07/27/2005","07/27/2004"
"07/28/2020","108","Ozone","HOLTSVILLE","36-103-0009","AQS","150","45","113.8","07/28/2010","07/28/2013"
"07/29/2020","84","Ozone","Leonia","34-003-0006","AQS","161","38","102.2","07/29/2008","07/29/2014"
"07/30/2020","140","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","156","44","69.8","07/30/2008","07/30/2014"
"07/31/2020","61","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","151","37","75","07/31/2002","07/31/2004"
"08/01/2020","90","Ozone","Monmouth University","34-025-0005","AQS","208","43","82.6","08/01/2002","08/01/2016"
"08/02/2020","57","PM2.5","Newark Firehouse","34-013-0003","AQS","204","44","63.8","08/02/2002","08/02/2018"
"08/03/2020","71","Ozone","RIVERHEAD","36-103-0004","AQS","182","42","75","08/03/2007","08/03/2016"
"08/04/2020","62","PM2.5","Elizabeth Lab","34-039-0004","AQS","210","37","68","08/04/2002","08/04/2013"
"08/05/2020","105","Ozone","RIVERHEAD","36-103-0004","AQS","197","36","72","08/05/2005","08/05/2004"
"08/06/2020","80","Ozone","PFIZER LAB SITE","36-005-0133","AQS","177","38","66","08/06/2001","08/06/2002"
"08/07/2020","64","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","218","34","58.8","08/07/2001","08/07/2004"
"08/08/2020","50","Ozone","Rutgers University","34-023-0011","AQS","179","37","70.2","08/08/2001","08/08/2017"
"08/09/2020","64","Ozone","PFIZER LAB SITE","36-005-0133","AQS","209","51","71","08/09/2001","08/09/2015"
"08/10/2020","119","Ozone","Leonia","34-003-0006","AQS","187","37","55.8","08/10/2002","08/10/2019"
"08/11/2020","64","Ozone","MILLBROOK","36-027-0007","AQS","206","38","57.2","08/11/2002","08/11/2015"
"08/12/2020","80","Ozone","CCNY","36-061-0135","AQS","225","35","61.4","08/12/2002","08/12/2014"
"08/13/2020","59","PM2.5","Elizabeth Lab","34-039-0004","AQS","221","33","61.6","08/13/2002","08/13/2018"
"08/14/2020","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","234","32","67.2","08/14/2002","08/14/2013"
"08/15/2020","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","169","38","75.2","08/15/2002","08/15/2014"
"08/16/2020","37","PM2.5","Elizabeth Lab","34-039-0004","AQS","169","35","82.6","08/16/2002","08/16/2011"
"08/17/2020","43","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","172","41","82.8","08/17/2002","08/17/2000"
"08/18/2020","67","Ozone","HOLTSVILLE","36-103-0009","AQS","129","32","65.2","08/18/2002","08/18/2007"
"08/19/2020","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","179","30","62.4","08/19/2002","08/19/2018"
"08/20/2020","49","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","177","32","55","08/20/2003","08/20/2015"
"08/21/2020","64","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","150","34","58.2","08/21/2003","08/21/2000"
"08/22/2020","74","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","185","36","74","08/22/2003","08/22/2014"
"08/23/2020","67","Ozone","Rockland County","36-087-0005","AQS","140","33","53.6","08/23/2004","08/23/2014"
"08/24/2020","87","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","150","32","74.8","08/24/2012","08/24/2010"
