"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM25","NO2"
"08/21/2012","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","28","9"
"08/22/2012","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","30","9"
"08/23/2012","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","52","13"
"08/24/2012","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","55","11"
"08/25/2012","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","52","8"
"08/26/2012","47","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","47","8"
"08/27/2012","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","30","13"
"08/28/2012","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","27","10"
"08/29/2012","12","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","12","9"
"08/30/2012","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","25","17"
"08/31/2012","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","40","19"
"09/01/2012","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","48","10"
"09/02/2012","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","24","10"
"09/03/2012","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","23","6"
"09/04/2012","15","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","13","15"
"09/05/2012","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","15","8"
"09/06/2012","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","26","10"
"09/07/2012","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","30","10"
"09/08/2012","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","26","19"
"09/09/2012","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","15","5"
"09/10/2012","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","19","7"
"09/11/2012","21","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","21","12"
"09/12/2012","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","25","13"
"09/13/2012","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","40","22"
"09/14/2012","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","44","14"
"09/15/2012","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","15","8"
"09/16/2012","17","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","17","8"
"09/17/2012","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","38","13"
"09/18/2012","20","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","17","20"
"09/19/2012","17","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","17","8"
"09/20/2012","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","18","8"
"09/21/2012","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","27","18"
"09/22/2012","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","26","12"
"09/23/2012","16","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","16","10"
"09/24/2012","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","22","10"
"09/25/2012","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","33","19"
"09/26/2012","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","43","20"
"09/27/2012","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","26","9"
"09/28/2012","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","15","8"
"09/29/2012","8","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","8","5"
"09/30/2012","12","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","12","8"
"10/01/2012","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","18","12"
"10/02/2012","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","28","13"
"10/03/2012","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","32","10"
"10/04/2012","13","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","11","13"
"10/05/2012","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","39","16"
"10/06/2012","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","41","25"
"10/07/2012","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","24","9"
"10/08/2012","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","23","13"
"10/09/2012","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","28","9"
"10/10/2012","12","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","12","10"
"10/11/2012","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","20","9"
"10/12/2012","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","30","15"
"10/13/2012","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","45","14"
"10/14/2012","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","55","18"
"10/15/2012","47","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13","47","16"
"10/16/2012","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","24","15"
"10/17/2012","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","54","19"
"10/18/2012","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","45","13"
"10/19/2012","16","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","13","16"
"10/20/2012","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","26","12"
"10/21/2012","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","28","6"
"10/22/2012","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","36","19"
"10/23/2012","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","56","17"
"10/24/2012","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","55","14"
"10/25/2012","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","51","15"
"10/26/2012","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","57","19"
"10/27/2012","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","59","24"
"10/28/2012","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","40","11"
"10/29/2012","5","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","3","5"
"10/30/2012","14","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","14","5"
"10/31/2012","21","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","21","13"
"11/01/2012","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","22","9"
"11/02/2012","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","19","7"
"11/03/2012","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","15","4"
"11/04/2012","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","22","2"
"11/05/2012","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","24","4"
"11/06/2012","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","58","21"
"11/07/2012","70","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11","70","24"
"11/08/2012","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","28","3"
"11/09/2012","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","45","18"
