"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"02/01/2017","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","29",".","38","20"
"02/02/2017","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","41",".","22","9"
"02/03/2017","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","38",".","30","11"
"02/04/2017","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","44",".","27","11"
"02/05/2017","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","39",".","31","20"
"02/06/2017","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","41","11","24","5"
"02/07/2017","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","38",".","33","17"
"02/08/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","34",".","25","23"
"02/09/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","34",".","28","14"
"02/10/2017","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","41",".","44","27"
"02/11/2017","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","27",".","56","25"
"02/12/2017","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","33","7","38","23"
"02/13/2017","37","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","37",".","29","21"
"02/14/2017","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","30",".","43","28"
"02/15/2017","28","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","28",".",".","25"
"02/16/2017","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","35",".","25","6"
"02/17/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","40",".","35","27"
"02/18/2017","64","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","44","25","64","38"
"02/19/2017","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","44",".","43","39"
"02/20/2017","47","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","47",".","30","23"
"02/21/2017","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","40",".","56","29"
"02/22/2017","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","40",".","59","33"
"02/23/2017","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","45",".","63","23"
"02/24/2017","61","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","17","19","61","22"
"02/25/2017","42","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","42",".","31","16"
"02/26/2017","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","43",".","14","12"
"02/27/2017","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","43",".","38","29"
"02/28/2017","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","42",".","53","23"
"03/01/2017","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","38",".","14","20"
"03/02/2017","46","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","46","6","16","2"
"03/03/2017","42","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","42",".","18","3"
"03/04/2017","42","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","42",".","21","4"
"03/05/2017","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","44",".","23","15"
"03/06/2017","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","39",".","50","20"
"03/07/2017","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","29",".","38","23"
"03/08/2017","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","44","7","20","12"
"03/09/2017","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","44",".","15","2"
"03/10/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","40",".","17","10"
"03/11/2017","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","36",".","27","1"
"03/12/2017","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","26",".","41","4"
"03/13/2017","34","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","32",".","34","17"
"03/14/2017","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","31","12","40","16"
"03/15/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","40",".","18","7"
"03/16/2017","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","18","12"
"03/17/2017","46","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","46",".","31","26"
"03/18/2017","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","46",".","54","29"
"03/19/2017","48","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","48",".","25","27"
"03/20/2017","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","49","22","52","32"
"03/21/2017","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","45",".","60","."
"03/22/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","40",".","30","25"
