"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25","NO2"
"10/24/2015","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","32","13"
"10/25/2015","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","18","13"
"10/26/2015","34","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","34","14"
"10/27/2015","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","53","17"
"10/28/2015","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","28","16"
"10/29/2015","24","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","12","24"
"10/30/2015","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","22","14"
"10/31/2015","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","52","15"
"11/01/2015","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","37","15"
"11/02/2015","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","28","18"
"11/03/2015","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","48","21"
"11/04/2015","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","52","23"
"11/05/2015","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","56","29"
"11/06/2015","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","30","16"
"11/07/2015","9","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","9","3"
"11/08/2015","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","30","17"
"11/09/2015","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","55","24"
"11/10/2015","49","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","49","19"
"11/11/2015","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","26","13"
"11/12/2015","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","20","14"
"11/13/2015","13","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","13","7"
"11/14/2015","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","15","3"
"11/15/2015","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","43","15"
"11/16/2015","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","44","13"
"11/17/2015","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","53","19"
"11/18/2015","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","52","15"
"11/19/2015","7","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","6","7"
"11/20/2015","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","18","18"
"11/21/2015","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","36","18"
"11/22/2015","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","15","13"
"11/23/2015","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","23","22"
"11/24/2015","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","58","24"
"11/25/2015","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","66","19"
"11/26/2015","69","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","69","26"
"11/27/2015","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","45","22"
"11/28/2015","12","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","12","5"
"11/29/2015","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","24","6"
"11/30/2015","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","56","22"
"12/01/2015","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","62","21"
"12/02/2015","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","46","25"
"12/03/2015","9","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","9","4"
"12/04/2015","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","30","22"
"12/05/2015","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","60","18"
"12/06/2015","70","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","70","12"
"12/07/2015","81","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","81","20"
