"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"11/08/2012","45","NO2","Elizabeth Lab","34-039-0004","AQS","7","30",".","36","45"
"11/09/2012","53","PM2.5","PS 19","36-061-0128","AQS","8","32",".","53","36"
"11/10/2012","91","PM2.5","Newark Firehouse","34-013-0003","AQS","16","25",".","91","46"
"11/11/2012","94","PM2.5","Newark Firehouse","34-013-0003","AQS","20","45","25","94","53"
"11/12/2012","85","NO2","Elizabeth Lab","34-039-0004","AQS","16","40",".","83","85"
"11/13/2012","35","NO2","Elizabeth Lab","34-039-0004","AQS","11","33",".","33","35"
"11/14/2012","50","PM2.5","PS 19","36-061-0128","AQS","9","24",".","50","31"
"11/15/2012","51","PM2.5","MORRISANIA","36-005-0080","AQS","10","19",".","51","39"
"11/16/2012","55","PM2.5","PS 19","36-061-0128","AQS","10","20",".","55","38"
"11/17/2012","63","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","31","22","63","42"
"11/18/2012","66","PM2.5","Newark Firehouse","34-013-0003","AQS","10","27",".","66","37"
"11/19/2012","63","PM2.5","Newark Firehouse","34-013-0003","AQS","15","30",".","63","43"
"11/20/2012","65","PM2.5","NEWBURGH","36-071-0002","AQS","16","24",".","65","48"
"11/21/2012","69","PM2.5","MORRISANIA","36-005-0080","AQS","14","30",".","69","52"
"11/22/2012","75","PM2.5","Newark Firehouse","34-013-0003","AQS","16","33",".","75","47"
"11/23/2012","82","PM2.5","Newark Firehouse","34-013-0003","AQS","17","31","30","82","57"
"11/24/2012","34","PM2.5","DIVISION STREET","36-061-0134","AQS","13","31",".","34","33"
"11/25/2012","43","PM2.5","DIVISION STREET","36-061-0134","AQS","7","33",".","43","25"
"11/26/2012","63","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","29",".","63","51"
"11/27/2012","68","PM2.5","Elizabeth Lab","34-039-0004","AQS","15","19",".","68","53"
"11/28/2012","54","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","26",".","54","35"
"11/29/2012","76","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","25","32","76","38"
